date,confirmer
1월 20일,1명 (+1)
1월 24일,1명 (+0)
1월 26일,2명 (+1)
1월 27일,3명 (+1)
1월 30일,4명 (+1)
1월 31일,6명 (+2)
2월 1일,11명 (+5)
2월 2일,12명 (+1)
2월 4일,15명 (+3)
2월 5일,16명 (+1)
2월 6일,19명 (+3)
2월 7일,23명 (+4)
2월 9일,24명 (+1)
2월 10일,27명 (+3)
2월 11일,27명 (+0)
2월 12일,28명 (+1)
2월 15일,28명 (+0)
2월 16일,28명 (+0)
2월 17일,29명 (+1)
2월 18일,30명 (+1)
2월 19일,31명 (+1)
2월 20일,51명 (+20)
2월 21일,104명 (+53)
2월 22일,204명 (+100)
2월 23일,433명 (+229)
2월 24일,602명 (+169)
2월 25일,833명 (+231)
2월 26일,977명 (+144)
2월 27일,"1,261명 (+284)"
2월 28일,"1,766명 (+505)"
2월 29일,"2,337명 (+571)"
3월 1일,"3,150명 (+813)"
3월 2일,"4,212명 (+1,062)"
3월 3일,"4,812명 (+600)"
3월 4일,"5,328명 (+516)"
3월 5일,"5,766명 (+438)"
3월 6일,"6,284명 (+518)"
3월 7일,"6,767명 (+483)"
3월 8일,"7,134명 (+367)"
3월 9일,"7,382명 (+248)"
3월 10일,"7,513명 (+131)"
3월 11일,"7,755명 (+242)"
3월 12일,"7,869명 (+114)"
3월 13일,"7,979명 (+110)"
3월 14일,"8,086명 (+107)"
3월 15일,"8,162명 (+76)"
3월 16일,"8,236명 (+74)"
3월 17일,"8,320명 (+84)"
3월 18일,"8,413명 (+93)"
3월 19일,"8,565명 (+152)"
3월 20일,"8,652명 (+87)"
3월 21일,"8,799명 (+147)"
3월 22일,"8,897명 (+98)"
3월 23일,"8,961명 (+64)"
3월 24일,"9,037명 (+76)"
3월 25일,"9,137명 (+100)"
3월 26일,"9,241명 (+104)"
3월 27일,"9,332명 (+91)"
3월 28일,"9,478명 (+146)"
3월 29일,"9,583명 (+105)"
3월 30일,"9,661명 (+78)"
3월 31일,"9,786명 (+125)"
4월 1일,"9,887명 (+101)"
4월 2일,"9,976명 (+89)"
4월 3일,"10,062명 (+86)"
4월 4일,"10,156명 (+94)"
4월 5일,"10,237명 (+81)"
4월 6일,"10,284명 (+47)"
4월 7일,"10,331명 (+47)"
4월 8일,"10,384명 (+53)"
4월 9일,"10,423명 (+39)"
4월 10일,"10,450명 (+27)"
4월 11일,"10,480명 (+30)"
4월 12일,"10,512명 (+32)"
4월 13일,"10,537명 (+25)"
4월 14일,"10,564명 (+27)"
4월 15일,"10,591명 (+27)"
4월 16일,"10,613명 (+22)"
4월 17일,"10,635명 (+22)"
4월 18일,"10,653명 (+18)"
4월 19일,"10,661명 (+8)"
4월 20일,"10,674명 (+13)"
4월 21일,"10,683명 (+9)"
4월 22일,"10,694명 (+11)"
4월 23일,"10,702명 (+8)"
4월 24일,"10,708명 (+6)"
4월 25일,"10,718명 (+10)"
4월 26일,"10,728명 (+10)"
4월 27일,"10,738명 (+10)"
4월 28일,"10,752명 (+14)"
4월 29일,"10,761명 (+9)"
4월 30일,"10,765명 (+4)"
5월 1일,"10,774명 (+9)"
5월 2일,"10,780명 (+6)"
5월 3일,"10,793명 (+13)"
5월 4일,"10,801명 (+8)"
5월 5일,"10,804명 (+3)"
5월 6일,"10,806명 (+2)"
5월 7일,"10,810명 (+4)"
5월 8일,"10,822명 (+12)"
5월 9일,"10,840명 (+18)"
5월 10일,"10,874명 (+34)"
5월 11일,"10,909명 (+35)"
5월 12일,"10,936명 (+27)"
5월 13일,"10,962명 (+26)"
5월 14일,"10,991명 (+29)"
5월 15일,"11,018명 (+27)"
5월 16일,"11,037명 (+19)"
5월 17일,"11,050명 (+13)"
5월 18일,"11,065명 (+15)"
5월 19일,"11,078명 (+13)"
5월 20일,"11,110명 (+32)"
5월 21일,"11,122명 (+12)"
5월 22일,"11,142명 (+20)"
5월 23일,"11,165명 (+23)"
5월 24일,"11,190명 (+25)"
5월 25일,"11,206명 (+16)"
5월 26일,"11,225명 (+19)"
5월 27일,"11,265명 (+40)"
5월 28일,"11,344명 (+79)"
5월 29일,"11,402명 (+58)"
5월 30일,"11,441명 (+39)"
5월 31일,"11,468명 (+27)"
6월 1일,"11,503명 (+35)"
6월 2일,"11,541명 (+38)"
6월 3일,"11,590명 (+49)"
6월 4일,"11,629명 (+39)"
6월 5일,"11,668명 (+39)"
6월 6일,"11,719명 (+51)"
6월 7일,"11,776명 (+57)"
6월 8일,"11,814명 (+38)"
6월 9일,"11,852명 (+38)"
6월 10일,"11,902명 (+50)"
6월 11일,"11,947명 (+45)"
6월 12일,"12,002명 (+55)"
6월 13일,"12,051명 (+49)"
6월 14일,"12,084명 (+33)"
6월 15일,"12,121명 (+37)"
6월 16일,"12,155명 (+34)"
6월 17일,"12,198명 (+43)"
6월 18일,"12,257명 (+59)"
6월 19일,"12,306명 (+49)"
6월 20일,"12,373명 (+67)"
6월 21일,"12,421명 (+48)"
6월 22일,"12,438명 (+17)"
6월 23일,"12,484명 (+46)"
6월 24일,"12,535명 (+51)"
6월 25일,"12,563명 (+28)"
6월 26일,"12,602명 (+39)"
6월 27일,"12,653명 (+51)"
6월 28일,"12,715명 (+62)"
6월 29일,"12,757명 (+42)"
6월 30일,"12,800명 (+43)"
